category,name,ownership,address,phone,principal,service_type,approved_capacity,bed_count,license_date,source_name,source_url
eldercare,財團法人南投縣私立南投仁愛之家,私立,54058南投縣南投市三興里39鄰民族路617號,049-2222151,賴文吉,養護 安養 日照,養護108安養39,108,69.09.13,南投縣老人機構名冊,https://data.nantou.gov.tw/dataset/dosa-07
eldercare,財團法人南投縣私立傑瑞社會福利基金 會附設南投縣私立傑瑞老人之家,私立,54059南投縣南投市三興里31鄰嶺興路210-3號,049-2230990,溫水柳,長照 養護 安養,長照72 養護266 安養160,72,84.05.22,南投縣老人機構名冊,https://data.nantou.gov.tw/dataset/dosa-07
eldercare,南投縣私立仁和長期照顧中心,私立,54065南投縣南投市平山里仁和路14號,049-2263166,何年春,長照,47,48,97.04.22,南投縣老人機構名冊,https://data.nantou.gov.tw/dataset/dosa-07
eldercare,南投縣私立千恩老人長期照顧中心(養護型),私立,54059南投縣南投市彰和里40鄰文化路322號,049-2225577,盧忠義,養護,48,48,98.10.15,南投縣老人機構名冊,https://data.nantou.gov.tw/dataset/dosa-07
eldercare,南投縣私立東山長期照顧中心,私立,54052南投縣南投市東山里2鄰東山路13之1號,049-2207008,蕭博銘,養護,48,48,99.12.29,南投縣老人機構名冊,https://data.nantou.gov.tw/dataset/dosa-07
eldercare,南投縣私立寶優老人養護中心,私立,54252南投縣草屯鎮新豐里6鄰稻香路25-27號,049-2336848,葉淑惠,養護,49,49,88.10.26,南投縣老人機構名冊,https://data.nantou.gov.tw/dataset/dosa-07
eldercare,南投縣私立保生長期照顧中心(養護型),私立,54254南投縣草屯鎮敦和里33鄰博愛路689號,049-2354107,洪璧如,養護,30,30,100.08.24,南投縣老人機構名冊,https://data.nantou.gov.tw/dataset/dosa-07
eldercare,南投縣私立博愛長期照顧中心,私立,54256南投縣草屯鎮明正里29鄰博愛路470號,049-2381777,李花守,長照,49,49,101.10.31,南投縣老人機構名冊,https://data.nantou.gov.tw/dataset/dosa-07
eldercare,南投縣私立尚德老人養護中心,私立,55148南投縣名間鄉東湖村2鄰山腳巷54-20號,049-2738847,黃登郁,養護,44,44,96.02.09,南投縣老人機構名冊,https://data.nantou.gov.tw/dataset/dosa-07
eldercare,南投縣祥和老人養護中心,私立,55148南投縣名間鄉東湖村15鄰彰南路256-1巷100號,049-2739868,陳平州,養護,18,18,99.03.04,南投縣老人機構名冊,https://data.nantou.gov.tw/dataset/dosa-07
eldercare,南投縣私立同心居老人養護中心,私立,55141南投縣竹山鎮雲林里33鄰大仁路199巷2號,049-2635717,李?蓮,養護,46,46,94.11.28,南投縣老人機構名冊,https://data.nantou.gov.tw/dataset/dosa-07
eldercare,南投縣私立淨慧長期照護中心,私立,55794南投縣竹山鎮社寮里8鄰田中巷58號,049-2624101,王為佳,長照,27,27,96.02.09,南投縣老人機構名冊,https://data.nantou.gov.tw/dataset/dosa-07
eldercare,南投縣私立慈愛老人養護中心,私立,55757南投縣竹山鎮雲林里34鄰大勇路21號,049-2655669,傅文興,養護,48,48,89.11.17,南投縣老人機構名冊,https://data.nantou.gov.tw/dataset/dosa-07
eldercare,南投縣私立億安養護中心,私立,55751南投縣竹山鎮延和里4鄰大和街258號,049-2658342,陳旻含,長照養護,長照16養護18,18,91.02.05,南投縣老人機構名冊,https://data.nantou.gov.tw/dataset/dosa-07
eldercare,南投縣私立佳尚好長期照顧中心(養護型),私立,54063南投縣南投市彰南路2段672巷65號,049-2258879,廖麗卿,養護,24,24,103.02.10,南投縣老人機構名冊,https://data.nantou.gov.tw/dataset/dosa-07
