category,name,township,address,phone,principal,class_count,student_count,teacher_count,kindergarten_class_count,kindergarten_teacher_count,school_year,source_name,source_url
school,南投國小,南投市,南投縣南投市彰南路一段1059號,(049)2222038,廖志家,36,900,59,3,10,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,平和國小,南投市,南投縣南投市平和里育樂路62號,(049)2222028,張文馨,36,880,60,4,8,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,新豐國小,南投市,南投縣南投市彰南路三段221號,(049)2251804,陳建助,15,330,25,1,2,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,營盤國小,南投市,南投縣南投市營南里營盤路136號,(049)2335882,江吉田,6,98,10,-,-,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,西嶺國小,南投市,南投縣南投市鳳鳴里八卦路894號,(049)2291354,沈春木,6,46,10,-,-,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,德興國小,南投市,南投縣南投市內興里中興路200號,(049)2359050,陳建佑,6,137,10,-,-,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,光華國小,南投市,南投縣南投市光華里光華四路2號,(049)2332549,黃美鳳,29,761,48,3,4,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,光榮國小,南投市,南投縣南投市光榮里八鄰光榮北路19號,(049)2332550,陳志嘉,10,171,16,1,2,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,文山國小,南投市,南投縣南投市福山里八卦路349號,(049)2291394,姚美宜,6,90,11,1,2,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,僑建國小,南投市,南投縣南投市彰南路三段847號,(049)2253245,蔡國宏,7,101,15,1,4,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,漳和國小,南投市,南投縣南投市文林路16號,(049)2224087,張鈴采,14,323,27,2,3,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,嘉和國小,南投市,南投縣南投市彰南路一段639巷80號,(049)2222430,陳秀玲,14,348,26,1,3,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,光復國小,南投市,南投縣南投市光明里光明一路67號,(049)2332587,柯志忠,6,65,10,1,3,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,千秋國小,南投市,南投縣南投市千秋里千秋路131巷1號,(049)2229405,陳美玲,6,37,10,-,-,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,漳興國小,南投市,南投縣南投市復興路669號,(049)2224013,陳良輔,16,365,29,3,7,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,康壽國小,南投市,南投縣南投市南陽路269號,(049)2243457,蔡政道,22,516,42,-,-,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,埔里國小,埔里鎮,南投縣埔里鎮西門里西康路127號,(049)2982034,邱國峰,41,1034,86,4,9,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,南光國小,埔里鎮,南投縣埔里鎮杷城里中正路251號,(049)2982025,林取德,49,1275,81,7,19,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,育英國小,埔里鎮,南投縣埔里鎮清新里育英街20號,(049)2982144,林慧錚,11,240,19,3,8,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,史港國小,埔里鎮,南投縣埔里鎮史港里獅子路9號,(049)2931521,陳貴珍,6,64,12,1,3,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,愛蘭國小,埔里鎮,南投縣埔里鎮愛蘭里鐵山路7號,(049)2912514,曾元信 曾元信,16,373,26,4,6,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,溪南國小,埔里鎮,南投縣埔里鎮溪南里珠生路68號,(049)2904517,李淑瑜,12,194,21,3,9,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,水尾國小,埔里鎮,南投縣埔里鎮一新里永豐路92號,(049)2932506,張志維,6,23,9,1,2,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,桃源國小,埔里鎮,南投縣埔里鎮桃米里桃米巷68號,(049)2913450,趙元炤,6,24,11,-,-,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,麒麟國小,埔里鎮,南投縣埔里鎮麒麟里武界路7號,(049)2925941,方竣憲,6,48,11,-,-,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,太平國小,埔里鎮,南投縣埔里鎮合成里西安路三段167巷35號,(049)2931385,蔣汝蘭,6,86,11,2,4,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,忠孝國小,埔里鎮,南投縣埔里鎮牛眠里守城路28號,(049)2931582,鐘森雄,7,146,13,1,2,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,中峰國小,埔里鎮,南投縣埔里鎮中山路一段228號,(049)2982542,陳明達,6,112,11,-,-,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,大成國小,埔里鎮,南投縣埔里鎮中山路三段565號,(049)2916517,徐昌義,12,221,19,-,-,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,草屯國小,草屯鎮,南投縣草屯鎮玉峰里玉屏路210號,(049)2362007,陳照明,47,1014,84,4,8,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,新庄國小,草屯鎮,南投縣草屯鎮新庄里新庄三路32號,(049)2333104,姚仁傑,6,181,11,3,4,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,碧峰國小,草屯鎮,南投縣草屯鎮碧峰里立人路439號,(049)2334304,溫富榮,12,243,19,2,4,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,土城國小,草屯鎮,南投縣草屯鎮土城里中正路189號,(049)2552024,陳順興,6,30,11,-,-,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,雙冬國小,草屯鎮,南投縣草屯鎮雙冬里中正路34號,(049)2571362,蘇裕祿,6,37,13,1,2,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,炎峰國小,草屯鎮,南投縣草屯鎮中興路101號,(049)2333221,陳恒聰,35,910,67,3,6,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,中原國小,草屯鎮,南投縣草屯鎮中原里坪腳巷20號,(049)2554631,陳俊言,8,162,13,2,2,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,平林國小,草屯鎮,南投縣草屯鎮健行路65巷90號,(049)2571761,呂秋明,6,47,10,-,-,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
school,坪頂國小,草屯鎮,南投縣草屯鎮坪頂里南坪路40號,(049)2552074,潘黃家齊,6,20,11,-,-,114,南投縣學校基本資料,https://sso.ntct.edu.tw/NewPerson/SchoolBase.aspx
